SA1_7DIGITCODE_2016,cluster
1105845,Semi-Rural
1105846,Country Towns
1105847,Country Towns
1105848,Country Towns
1105850,Country Towns
1105851,Country Towns
1105853,Country Towns
1105854,Country Towns
1105855,Country Towns
1105856,Country Towns
1105857,Country Towns
1105859,Fringe-Growth
1105860,Rural
1105861,Semi-Rural
1105862,Semi-Rural
1105863,Semi-Rural
1105864,Semi-Rural
1105901,Rural
1105902,Semi-Rural
1105903,Rural
1105905,Country Towns
1105906,Country Towns
1105907,Country Towns
1105908,Country Towns
1105910,Fringe-Growth
1105912,Country Towns
1105913,Semi-Rural
1105914,Country Towns
1105915,Rural
1105916,Semi-Rural
1105917,Semi-Rural
1105918,Semi-Rural
1105919,Semi-Rural
1105920,Semi-Rural
1105921,Semi-Rural
1105922,Semi-Rural
1105923,Fringe-Growth
1105924,Rural
1105925,Semi-Rural
1105926,Semi-Rural
1105927,Rural
1106001,Rural
1106002,Rural
1106003,Rural
1106004,Semi-Rural
1106005,Rural
1106006,Rural
1106007,Rural
1106008,Rural
1106009,Rural
1106010,Rural
1106011,Semi-Rural
1106012,Rural
1106013,Rural
1106014,Rural
1106015,Rural
1106016,Rural
1106017,Semi-Rural
