sa1_7digitcode_2016,cluster
1105905,Country Towns
1105906,Country Towns
1105907,Country Towns
1105908,1105908
1105910,
1105912,1105912
1105913,
1105914,Country Towns
1105915,Country Towns
1105916,1105916
1105917,
1105918,
1105919,
1105920,1105920
1105921,
1105922,
1105923,Fringe-Growth
1105924,1105924
1105925,
1105926,
1105927,Country Towns
1106001,Country Towns
1106002,
1106003,Country Towns
1106004,1106004
1106005,Country Towns
1106006,
1106007,Country Towns
1106008,1106008
1106009,
1106010,Country Towns
1106011,
1106012,1106012
1106013,
1106014,
1106015,Country Towns
1106016,1106016
1106017,
1106018,
1106019,
1106020,1106020
1106101,Country Towns
1106102,Country Towns
1106103,Country Towns
1106104,1106104
1106105,Country Towns
1106106,Country Towns
1106107,Country Towns
1106108,1106108
1106109,Country Towns
1106110,Country Towns
1106111,Country Towns
1106112,1106112
1106113,
1106114,Country Towns
1106115,
1106116,1106116
1106201,Country Towns
1106202,Country Towns
1106203,Country Towns
1106204,1106204
1106205,Country Towns
1106206,Country Towns
1106207,Country Towns
1106208,1106208
1106209,Country Towns
1106210,Country Towns
1106211,Country Towns
1106212,1106212
1106213,Country Towns
1106214,Country Towns
1106215,Country Towns
1106216,1106216
1106217,Country Towns
1106218,Country Towns
1106219,Country Towns
1106220,1106220
1106221,Country Towns
1106222,Country Towns
1106224,1106224
1106303,Country Towns
1106304,1106304
1106305,Country Towns
1106306,Country Towns
1106308,1106308
1106309,Country Towns
1106310,Country Towns
1106311,Country Towns
1106312,1106312
1106313,Country Towns
1106314,Country Towns
1106315,Country Towns
1106316,1106316
1106317,Country Towns
1106318,Country Towns
1106319,Country Towns
1106320,1106320
1106321,Country Towns
1106322,Country Towns
1106323,Country Towns
1106324,1106324
1106325,Country Towns
1106326,Country Towns
1106327,Country Towns
1106328,1106328
1106329,Country Towns
1106401,Country Towns
1106402,Country Towns
1106403,Country Towns
1106404,1106404
1106405,Country Towns
1106406,Country Towns
1106407,Country Towns
1106408,1106408
1106409,Country Towns
1106410,Country Towns
1106411,Country Towns
1106412,1106412
1106413,Country Towns
1106414,Country Towns
1106415,Country Towns
1106416,1106416
1106417,Country Towns
1106418,Country Towns
1106501,Country Towns
